Open Time,Order,Symbol,Type,Volume,,Price,S / L,T / P,Time,,State,Comment,
2018.02.08 18:00:00,57,EURUSD,sell,0.01 / 0.01,, 1.22599,,,2018.02.08 18:00:00,,filled,,
2018.02.08 19:00:00,58,EURUSD,sell,0.01 / 0.01,, 1.22395,,,2018.02.08 19:00:00,,filled,,
2018.02.08 21:00:00,59,EURUSD,buy,0.01 / 0.01,, 1.22667,,,2018.02.08 21:00:00,,filled,,
2018.02.08 23:00:00,60,EURUSD,sell,0.01 / 0.01,, 1.22441,,,2018.02.08 23:00:00,,filled,,
2018.02.09 02:00:00,61,EURUSD,buy,0.01 / 0.01,, 1.22611,,,2018.02.09 02:00:00,,filled,,
2018.02.09 05:00:00,62,EURUSD,buy,0.01 / 0.01,, 1.22553,,,2018.02.09 05:00:00,,filled,,
2018.02.09 07:00:00,63,EURUSD,sell,0.01 / 0.01,, 1.22537,,,2018.02.09 07:00:00,,filled,,
2018.02.09 08:00:00,64,EURUSD,buy,0.01 / 0.01,, 1.22575,,,2018.02.09 08:00:00,,filled,,
2018.02.09 14:00:00,65,EURUSD,sell,0.01 / 0.01,, 1.22406,,,2018.02.09 14:00:00,,filled,,
2018.02.09 16:00:00,66,EURUSD,buy,0.01 / 0.01,, 1.22766,,,2018.02.09 16:00:00,,filled,,
2018.02.09 17:00:00,67,EURUSD,sell,0.01 / 0.01,, 1.22572,,,2018.02.09 17:00:00,,filled,,
2018.02.12 15:00:00,68,EURUSD,sell,0.01 / 0.01,, 1.22627,,,2018.02.12 15:00:00,,filled,,
2018.02.12 18:00:00,69,EURUSD,buy,0.01 / 0.01,, 1.22771,,,2018.02.12 18:00:00,,filled,,
2018.02.12 19:00:00,70,EURUSD,sell,0.01 / 0.01,, 1.22667,,,2018.02.12 19:00:00,,filled,,
2018.02.14 18:00:00,71,EURUSD,buy,0.01 / 0.01,, 1.24029,,,2018.02.14 18:00:00,,filled,,
2018.02.15 20:00:00,72,EURUSD,sell,0.01 / 0.01,, 1.24715,,,2018.02.15 20:00:00,,filled,,
2018.02.15 21:00:00,73,EURUSD,buy,0.01 / 0.01,, 1.24933,,,2018.02.15 21:00:00,,filled,,
2018.02.16 13:00:00,74,EURUSD,sell,0.01 / 0.01,, 1.24877,,,2018.02.16 13:00:00,,filled,,
2018.02.19 13:00:00,75,EURUSD,buy,0.01 / 0.01,, 1.24253,,,2018.02.19 13:00:00,,filled,,
2018.02.19 15:00:00,76,EURUSD,sell,0.08 / 0.08,, 1.24073,,,2018.02.19 15:00:00,,filled,,
2018.02.20 03:00:00,77,EURUSD,buy,0.08 / 0.08,, 1.24063,,,2018.02.20 03:00:00,,filled,,
2018.02.20 04:00:00,78,EURUSD,sell,0.08 / 0.08,, 1.23944,,,2018.02.20 04:00:00,,filled,,
2018.02.21 20:00:00,79,EURUSD,buy,0.08 / 0.08,, 1.23271,,,2018.02.21 20:00:00,,filled,,
2018.02.21 22:00:00,80,EURUSD,sell,0.09 / 0.09,, 1.23023,,,2018.02.21 22:00:00,,filled,,
2018.02.22 12:00:00,81,EURUSD,buy,0.09 / 0.09,, 1.22938,,,2018.02.22 12:00:00,,filled,,
2018.02.22 15:00:00,82,EURUSD,sell,0.09 / 0.09,, 1.22704,,,2018.02.22 15:00:00,,filled,,
2018.02.22 16:00:00,83,EURUSD,buy,0.09 / 0.09,, 1.23132,,,2018.02.22 16:00:00,,filled,,
2018.02.23 05:00:00,84,EURUSD,sell,0.09 / 0.09,, 1.23138,,,2018.02.23 05:00:00,,filled,,
2018.02.23 20:00:00,85,EURUSD,buy,0.09 / 0.09,, 1.23062,,,2018.02.23 20:00:00,,filled,,
2018.02.23 21:00:00,86,EURUSD,sell,0.09 / 0.09,, 1.22941,,,2018.02.23 21:00:00,,filled,,
2018.02.26 05:00:00,87,EURUSD,buy,0.09 / 0.09,, 1.23153,,,2018.02.26 05:00:00,,filled,,
2018.02.26 16:00:00,88,EURUSD,sell,0.09 / 0.09,, 1.23050,,,2018.02.26 16:00:00,,filled,,
2018.02.27 03:00:00,89,EURUSD,buy,0.09 / 0.09,, 1.23318,,,2018.02.27 03:00:00,,filled,,
2018.02.27 14:00:00,90,EURUSD,sell,0.01 / 0.01,, 1.23174,,,2018.02.27 14:00:00,,filled,,
