Open Time,Order,Symbol,Type,Volume,,Price,S / L,T / P,Time,,State,Comment,
2018.04.05 14:00:00,34,EURUSD,buy,0.10 / 0.10,, 1.22799,, 1.23298,2018.04.05 14:00:00,,filled,,
2018.04.09 03:07:40,35,EURUSD,sell,0.10 / 0.10,, 1.22688,,,2018.04.09 03:07:40,,filled,,
2018.04.13 16:44:40,36,EURUSD,buy,0.10 / 0.10,, 1.23312,, 1.23811,2018.04.13 16:44:40,,filled,,
2018.04.16 15:54:40,37,EURUSD,sell,0.10 / 0.10,, 1.23811,,,2018.04.16 15:54:40,,filled,tp 1.23811,
2018.04.30 10:39:40,38,EURUSD,sell,0.10 / 0.10,, 1.21085,, 1.20586,2018.04.30 10:39:40,,filled,,
2018.04.30 19:31:40,39,EURUSD,buy,0.10 / 0.10,, 1.20942,,,2018.04.30 19:31:40,,filled,sl 1.20942,
2018.05.02 21:14:40,40,EURUSD,buy,0.10 / 0.10,, 1.20208,, 1.20707,2018.05.02 21:14:40,,filled,,
2018.05.11 03:00:00,41,EURUSD,sell,0.10 / 0.10,, 1.19137,,,2018.05.11 03:00:00,,filled,,
2018.05.22 07:40:20,42,EURUSD,sell,0.10 / 0.10,, 1.17751,, 1.17252,2018.05.22 07:40:20,,filled,,
2018.05.23 10:30:40,43,EURUSD,buy,0.10 / 0.10,, 1.17252,,,2018.05.23 10:30:40,,filled,tp 1.17252,
2018.05.25 12:15:40,44,EURUSD,buy,0.10 / 0.10,, 1.17188,, 1.17686,2018.05.25 12:15:40,,filled,,
2018.05.31 03:12:40,45,EURUSD,sell,0.10 / 0.10,, 1.16563,,,2018.05.31 03:12:40,,filled,,
2018.06.01 14:50:40,46,EURUSD,sell,0.10 / 0.10,, 1.16832,, 1.16333,2018.06.01 14:50:40,,filled,,
2018.06.01 15:37:40,47,EURUSD,buy,0.10 / 0.10,, 1.16777,,,2018.06.01 15:37:40,,filled,sl 1.16777,
2018.06.04 03:02:40,48,EURUSD,buy,0.10 / 0.10,, 1.16725,, 1.17223,2018.06.04 03:02:40,,filled,,
2018.06.04 11:09:40,49,EURUSD,sell,0.10 / 0.10,, 1.16849,,,2018.06.04 11:09:40,,filled,sl 1.16849,
2018.06.04 18:09:40,50,EURUSD,sell,0.10 / 0.10,, 1.16943,, 1.16444,2018.06.04 18:09:40,,filled,,
2018.06.05 18:11:20,51,EURUSD,buy,0.10 / 0.10,, 1.16827,,,2018.06.05 18:11:20,,filled,sl 1.16827,
2018.06.11 12:01:40,52,EURUSD,sell,0.10 / 0.10,, 1.17802,, 1.17303,2018.06.11 12:01:40,,filled,,
2018.06.12 05:56:40,53,EURUSD,buy,0.10 / 0.10,, 1.17711,,,2018.06.12 05:56:40,,filled,sl 1.17711,
2018.06.12 10:02:40,54,EURUSD,buy,0.10 / 0.10,, 1.17796,, 1.18294,2018.06.12 10:02:40,,filled,,
2018.06.14 09:00:40,55,EURUSD,sell,0.10 / 0.10,, 1.17976,,,2018.06.14 09:00:40,,filled,,
2018.06.14 14:47:40,56,EURUSD,sell,0.10 / 0.10,, 1.17884,, 1.17385,2018.06.14 14:47:40,,filled,,
2018.06.14 15:00:40,57,EURUSD,buy,0.10 / 0.10,, 1.17385,,,2018.06.14 15:00:40,,filled,tp 1.17385,
2018.06.19 09:03:40,58,EURUSD,sell,0.10 / 0.10,, 1.16142,, 1.15643,2018.06.19 09:03:40,,filled,,
2018.06.19 11:24:40,59,EURUSD,buy,0.10 / 0.10,, 1.15643,,,2018.06.19 11:24:40,,filled,tp 1.15643,
2018.06.20 10:40:40,60,EURUSD,buy,0.10 / 0.10,, 1.15832,, 1.16331,2018.06.20 10:40:40,,filled,,
2018.06.21 17:46:20,61,EURUSD,sell,0.10 / 0.10,, 1.16331,,,2018.06.21 17:46:20,,filled,tp 1.16331,
2018.06.22 17:27:40,62,EURUSD,sell,0.10 / 0.10,, 1.16190,, 1.15691,2018.06.22 17:27:40,,filled,,
2018.06.27 04:00:00,63,EURUSD,buy,0.10 / 0.10,, 1.16545,,,2018.06.27 04:00:00,,filled,,
2018.06.29 03:40:40,64,EURUSD,buy,0.10 / 0.10,, 1.15762,, 1.16261,2018.06.29 03:40:40,,filled,,
2018.06.29 05:39:40,65,EURUSD,sell,0.10 / 0.10,, 1.16261,,,2018.06.29 05:39:40,,filled,tp 1.16261,
2018.07.02 23:10:40,66,EURUSD,buy,0.10 / 0.10,, 1.16362,, 1.16861,2018.07.02 23:10:40,,filled,,
2018.07.03 16:17:20,67,EURUSD,sell,0.10 / 0.10,, 1.16431,,,2018.07.03 16:17:20,,filled,sl 1.16431,
2018.07.03 19:18:40,68,EURUSD,sell,0.10 / 0.10,, 1.16430,, 1.15931,2018.07.03 19:18:40,,filled,,
2018.07.10 19:13:40,69,EURUSD,buy,0.10 / 0.10,, 1.17330,,,2018.07.10 19:13:40,,filled,,
