,date_time,currency,impact,name,actual,forecast,previous
3384,2011-01-06 04:27:00,CHF,High Impact Expected,Foreign Currency Reserves,203.0,0.0,212.0
3385,2011-01-06 04:30:00,GBP,High Impact Expected,Services PMI,49.7,52.9,53.0
3386,2011-01-06 08:30:00,USD,High Impact Expected,Unemployment Claims,409.0,400.0,391.0
3387,2011-01-06 10:00:00,CAD,High Impact Expected,Ivey PMI,50.0,53.3,57.5
3388,2011-01-07 07:00:00,CAD,High Impact Expected,Employment Change,22.0,19.1,15.2
3389,2011-01-07 07:00:00,CAD,High Impact Expected,Unemployment Rate,7.6,7.7,7.6
3390,2011-01-07 08:30:00,USD,High Impact Expected,Non-Farm Employment Change,103.0,159.0,71.0
3391,2011-01-07 08:30:00,USD,High Impact Expected,Unemployment Rate,9.4,9.7,9.8
3392,2011-01-07 09:30:00,USD,High Impact Expected,Fed Chairman Bernanke Testifies,0.0,0.0,0.0
3393,2011-01-09 19:30:00,AUD,High Impact Expected,Retail Sales m/m,0.3,0.3,-0.8
3394,2011-01-09 22:01:00,CNY,High Impact Expected,USD-Denominated Trade Balance,13.1,20.9,22.9
3395,2011-01-10 03:00:00,GBP,High Impact Expected,Halifax HPI m/m,-1.3,-0.3,-0.2
3396,2011-01-10 03:15:00,CHF,High Impact Expected,Retail Sales y/y,2.5,2.2,3.5
3397,2011-01-10 07:00:00,EUR,High Impact Expected,ECB President Trichet Speaks,0.0,0.0,0.0
3398,2011-01-10 08:30:00,CAD,High Impact Expected,Building Permits m/m,-11.2,0.8,-6.2
3399,2011-01-10 10:30:00,CAD,High Impact Expected,BOC Business Outlook Survey,0.0,0.0,0.0
3400,2011-01-10 16:00:00,NZD,High Impact Expected,NZIER Business Confidence,8.0,0.0,6.0
3401,2011-01-10 19:30:00,AUD,High Impact Expected,ANZ Job Advertisements m/m,2.0,0.0,3.0
3402,2011-01-10 19:30:00,AUD,High Impact Expected,Trade Balance,1.93,2.03,2.56
3403,2011-01-11 08:15:00,CAD,High Impact Expected,Housing Starts,172.0,179.0,198.0
